"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-21","0.0","27.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-22","0.0","29.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-23","0.0","30.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-24","0.0","30.9","41.2","24.9"
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-25","0.0","30.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-26","0.0","30.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-27","0.0","29.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-28","0.0","28.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-29","0.0","27.2","39.0","21.8"
"MXM00076843","FRANCISCO SARABIA, MX","2015-04-30","0.0","22.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-01","2.3","23.9","30.0","20.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-02","0.0","25.3","32.3","20.8"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-03","0.0","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-04","0.0","27.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-05","0.0","28.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-06","0.0","29.4","39.6","22.1"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-07","0.0","29.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-08","0.0","28.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-09","0.0","29.5","39.0","22.5"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-10","0.0","29.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-11","0.0","29.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-12","0.0","28.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-13","0.0","27.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-14","0.0","26.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-15","20.3","28.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-16","0.0","28.0","36.3","22.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-17","19.6","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-18","12.7","26.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-19","0.0","28.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-20","0.0","27.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-21","2.0","26.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-22","2.3","27.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-05-23","0.0","27.0",,
