date,searches,cases
22/11/2015,40,0
29/11/2015,14,0
06/12/2015,19,0
13/12/2015,10,0
20/12/2015,15,0
27/12/2015,18,0
03/01/2016,2,0
10/01/2016,6,0
17/01/2016,18,0
24/01/2016,47,1
31/01/2016,66,0
07/02/2016,38,0
14/02/2016,60,0
21/02/2016,36,0
28/02/2016,51,0
06/03/2016,76,0
13/03/2016,53,1
20/03/2016,22,0
27/03/2016,59,2
03/04/2016,65,0
10/04/2016,29,1
17/04/2016,13,0
24/04/2016,22,0
01/05/2016,18,2
08/05/2016,18,1
15/05/2016,17,0
22/05/2016,13,0
29/05/2016,8,0
05/06/2016,11,3
12/06/2016,13,1
19/06/2016,16,1
26/06/2016,9,9
03/07/2016,7,15
10/07/2016,9,18
17/07/2016,13,43
24/07/2016,26,74
31/07/2016,45,42
07/08/2016,68,91
14/08/2016,93,85
21/08/2016,100,114
28/08/2016,93,173
04/09/2016,74,36
11/09/2016,93,97
18/09/2016,68,195
25/09/2016,71,102
02/10/2016,44,103
09/10/2016,41,182
16/10/2016,44,123
23/10/2016,41,61
30/10/2016,22,135
06/11/2016,40,28
13/11/2016,32,11
20/11/2016,22,9
27/11/2016,38,8
04/12/2016,35,16
11/12/2016,28,1
18/12/2016,5,2
25/12/2016,11,70
01/01/2017,12,1
08/01/2017,12,0
15/01/2017,9,0
22/01/2017,42,0
29/01/2017,25,1
05/02/2017,40,1
12/02/2017,50,2
19/02/2017,37,0
26/02/2017,53,1
05/03/2017,26,0
12/03/2017,40,0
19/03/2017,40,1
26/03/2017,19,0
02/04/2017,100,0
09/04/2017,65,0
16/04/2017,33,3
23/04/2017,42,1
30/04/2017,6,0
07/05/2017,48,0
14/05/2017,7,0
21/05/2017,11,0
28/05/2017,11,1
04/06/2017,11,0
11/06/2017,17,1
18/06/2017,18,4
25/06/2017,27,0
02/07/2017,81,0
09/07/2017,20,2
16/07/2017,17,0
23/07/2017,8,1
30/07/2017,16,1
06/08/2017,8,1
13/08/2017,13,1
20/08/2017,27,2
27/08/2017,9,1
03/09/2017,26,2
10/09/2017,11,7
17/09/2017,23,1
24/09/2017,10,12
01/10/2017,13,13
08/10/2017,7,15
15/10/2017,3,1
22/10/2017,8,21
29/10/2017,7,5
05/11/2017,6,8
12/11/2017,4,3
19/11/2017,4,5
26/11/2017,4,3
03/12/2017,8,5
10/12/2017,3,3
17/12/2017,5,3
24/12/2017,11,0
31/12/2017,5,0
07/01/2018,4,0
14/01/2018,15,0
21/01/2018,0,0
28/01/2018,8,0
04/02/2018,13,0
