date,searches,cases
22/11/2015,50,1
29/11/2015,7,0
06/12/2015,4,0
13/12/2015,0,0
20/12/2015,0,0
27/12/2015,0,3
03/01/2016,3,0
10/01/2016,7,0
17/01/2016,12,0
24/01/2016,40,0
31/01/2016,60,0
07/02/2016,31,0
14/02/2016,32,0
21/02/2016,21,0
28/02/2016,29,0
06/03/2016,19,0
13/03/2016,30,0
20/03/2016,14,0
27/03/2016,20,0
03/04/2016,39,0
10/04/2016,18,0
17/04/2016,8,0
24/04/2016,32,0
01/05/2016,13,0
08/05/2016,10,1
15/05/2016,10,0
22/05/2016,27,0
29/05/2016,17,0
05/06/2016,7,0
12/06/2016,7,0
19/06/2016,7,0
26/06/2016,1,0
03/07/2016,3,0
10/07/2016,3,0
17/07/2016,4,1
24/07/2016,4,1
31/07/2016,6,0
07/08/2016,3,1
14/08/2016,3,0
21/08/2016,4,0
28/08/2016,6,0
04/09/2016,8,4
11/09/2016,9,7
18/09/2016,13,23
25/09/2016,23,56
02/10/2016,46,29
09/10/2016,53,48
16/10/2016,94,143
23/10/2016,100,45
30/10/2016,87,53
06/11/2016,90,10
13/11/2016,83,27
20/11/2016,52,2
27/11/2016,75,1
04/12/2016,53,303
11/12/2016,38,22
18/12/2016,25,2
25/12/2016,12,2
01/01/2017,18,0
08/01/2017,28,2
15/01/2017,25,3
22/01/2017,20,1
29/01/2017,33,0
05/02/2017,38,0
12/02/2017,13,0
19/02/2017,22,0
26/02/2017,11,0
05/03/2017,31,0
12/03/2017,27,0
19/03/2017,22,0
26/03/2017,10,0
02/04/2017,27,0
09/04/2017,44,0
16/04/2017,4,0
23/04/2017,54,0
30/04/2017,16,0
07/05/2017,26,0
14/05/2017,10,0
21/05/2017,5,0
28/05/2017,22,0
04/06/2017,20,0
11/06/2017,3,0
18/06/2017,6,1
25/06/2017,9,1
02/07/2017,20,0
09/07/2017,10,0
16/07/2017,11,0
23/07/2017,5,2
30/07/2017,10,3
06/08/2017,16,2
13/08/2017,16,8
20/08/2017,61,2
27/08/2017,18,7
03/09/2017,24,7
10/09/2017,26,10
17/09/2017,25,1
24/09/2017,11,7
01/10/2017,11,1
08/10/2017,7,4
15/10/2017,7,5
22/10/2017,15,13
29/10/2017,11,5
05/11/2017,8,1
12/11/2017,8,6
19/11/2017,14,2
26/11/2017,13,2
03/12/2017,5,6
10/12/2017,2,0
17/12/2017,7,0
24/12/2017,12,0
31/12/2017,4,0
07/01/2018,3,0
14/01/2018,11,0
21/01/2018,0,0
28/01/2018,8,0
04/02/2018,2,0
,,
,,
,,
,,
