date,searches,cases
22/11/2015,100,1
29/11/2015,100,0
06/12/2015,100,0
13/12/2015,100,0
20/12/2015,100,0
27/12/2015,100,9
03/01/2016,100,0
10/01/2016,100,3
17/01/2016,73,11
24/01/2016,93,11
31/01/2016,90,10
07/02/2016,59,9
14/02/2016,64,3
21/02/2016,48,15
28/02/2016,93,3
06/03/2016,74,7
13/03/2016,100,6
20/03/2016,68,14
27/03/2016,71,10
03/04/2016,88,11
10/04/2016,100,1
17/04/2016,100,5
24/04/2016,100,3
01/05/2016,100,0
08/05/2016,100,1
15/05/2016,100,0
22/05/2016,100,10
29/05/2016,100,7
05/06/2016,100,0
12/06/2016,100,59
19/06/2016,100,43
26/06/2016,48,45
03/07/2016,66,55
10/07/2016,51,45
17/07/2016,66,46
24/07/2016,67,21
31/07/2016,49,20
07/08/2016,24,16
14/08/2016,22,15
21/08/2016,26,29
28/08/2016,23,3
04/09/2016,17,2
11/09/2016,7,12
18/09/2016,19,1
25/09/2016,9,47
02/10/2016,19,105
09/10/2016,11,3
16/10/2016,14,4
23/10/2016,3,1
30/10/2016,15,46
06/11/2016,8,0
13/11/2016,42,0
20/11/2016,22,0
27/11/2016,22,0
04/12/2016,8,1
11/12/2016,0,0
18/12/2016,0,0
25/12/2016,11,0
01/01/2017,9,0
08/01/2017,0,0
15/01/2017,13,0
22/01/2017,0,0
29/01/2017,0,0
05/02/2017,0,0
12/02/2017,100,0
19/02/2017,0,0
26/02/2017,28,0
05/03/2017,12,0
12/03/2017,16,0
19/03/2017,22,0
26/03/2017,52,0
02/04/2017,10,0
09/04/2017,100,0
16/04/2017,15,0
23/04/2017,38,0
30/04/2017,0,0
07/05/2017,22,0
14/05/2017,0,0
21/05/2017,30,0
28/05/2017,29,0
04/06/2017,16,0
11/06/2017,0,0
18/06/2017,25,0
25/06/2017,19,0
02/07/2017,41,0
09/07/2017,14,0
16/07/2017,0,3
23/07/2017,7,0
30/07/2017,9,2
06/08/2017,35,0
13/08/2017,0,0
20/08/2017,12,0
27/08/2017,10,0
03/09/2017,0,0
10/09/2017,8,0
17/09/2017,9,0
24/09/2017,13,0
01/10/2017,6,0
08/10/2017,0,0
15/10/2017,0,0
22/10/2017,5,0
29/10/2017,0,0
05/11/2017,12,0
12/11/2017,2,0
19/11/2017,4,0
26/11/2017,4,0
03/12/2017,22,0
10/12/2017,0,0
17/12/2017,0,0
24/12/2017,0,0
31/12/2017,0,0
07/01/2018,12,0
14/01/2018,23,0
21/01/2018,0,0
28/01/2018,0,0
04/02/2018,19,0
