id,State,Cases
1,Acre,79
2,Alagoas,6827
3,Amazonas,4486
4,Amapá,405
5,Bahia,51216
6,Ceará,4340
7,Distrito Federal,346
8,Espírito Santo,2333
9,Goias,10477
10,Maranhão,4608
11,Minas Gerais,13865
12,Mato Grosso do Sul,1722
13,Mato Grosso,21628
14,Pará,4664
15,Paraíba,3750
16,Pernambuco,445
17,Piauí,236
18,Paraná,661
19,Rio de Janeiro,71529
20,Rio Grande do Norte,3699
21,Rondônia,923
22,Roraima,169
23,Rio Grande do Sul,168
24,Santa Catarina,69
25,Sergipe,217
26,São Paulo,5210
27,Tocantins,2136
