id,State,Cases
1,Acre,21
2,Alagoas,82
3,Amazonas,285
4,Amapá,5
5,Bahia,1078
6,Ceará,960
7,Distrito Federal,27
8,Espírito Santo,242
9,Goias,2011
10,Maranhão,308
11,Minas Gerais,499
12,Mato Grosso do Sul,20
13,Mato Grosso,1488
14,Pará,563
15,Paraíba,71
16,Pernambuco,16
17,Piauí,40
18,Paraná,28
19,Rio de Janeiro,1653
20,Rio Grande do Norte,195
21,Rondônia,90
22,Roraima,109
23,Rio Grande do Sul,8
24,Santa Catarina,7
25,Sergipe,9
26,São Paulo,153
27,Tocantins,318
