Date,Searches,Cases
28/11/2015,18,0
05/12/2015,49,0
12/12/2015,3,0
19/12/2015,0,0
26/12/2015,10,0
02/01/2016,3,0
09/01/2016,0,0
16/01/2016,24,0
23/01/2016,52,0
30/01/2016,54,1
06/02/2016,42,0
13/02/2016,66,0
20/02/2016,29,0
27/02/2016,23,0
05/03/2016,50,0
12/03/2016,77,0
19/03/2016,49,1
26/03/2016,36,0
02/04/2016,61,2
09/04/2016,35,0
16/04/2016,19,1
23/04/2016,35,0
30/04/2016,14,0
07/05/2016,20,2
14/05/2016,7,1
21/05/2016,15,0
28/05/2016,10,0
04/06/2016,12,0
11/06/2016,7,3
18/06/2016,15,1
25/06/2016,10,1
02/07/2016,6,9
09/07/2016,8,15
16/07/2016,18,18
23/07/2016,20,43
30/07/2016,56,74
06/08/2016,83,42
13/08/2016,79,91
20/08/2016,100,85
27/08/2016,100,114
03/09/2016,73,173
10/09/2016,79,36
17/09/2016,100,97
24/09/2016,47,195
01/10/2016,35,102
08/10/2016,47,103
15/10/2016,29,182
22/10/2016,30,123
29/10/2016,33,61
05/11/2016,35,135
12/11/2016,28,28
19/11/2016,45,11
26/11/2016,20,9
03/12/2016,38,8
10/12/2016,28,16
17/12/2016,13,1
24/12/2016,9,2
31/12/2016,26,70
07/01/2017,7,1
14/01/2017,9,0
21/01/2017,16,0
28/01/2017,18,0
04/02/2017,56,1
11/02/2017,27,1
18/02/2017,22,2
25/02/2017,61,0
04/03/2017,17,1
11/03/2017,33,0
18/03/2017,41,0
25/03/2017,23,1
01/04/2017,100,0
08/04/2017,32,0
15/04/2017,36,0
22/04/2017,57,3
29/04/2017,15,1
06/05/2017,11,0
13/05/2017,24,0
20/05/2017,46,0
27/05/2017,0,0
03/06/2017,4,1
10/06/2017,19,0
17/06/2017,6,1
24/06/2017,29,4
01/07/2017,71,0
08/07/2017,5,0
15/07/2017,6,2
22/07/2017,3,0
29/07/2017,4,1
05/08/2017,6,1
12/08/2017,13,1
19/08/2017,13,1
26/08/2017,22,2
02/09/2017,20,1
09/09/2017,16,2
16/09/2017,12,7
23/09/2017,27,1
30/09/2017,11,12
07/10/2017,7,13
14/10/2017,4,15
21/10/2017,4,1
28/10/2017,7,21
04/11/2017,1,5
11/11/2017,5,8
18/11/2017,4,3
25/11/2017,10,5
02/12/2017,16,3
09/12/2017,5,5
16/12/2017,16,3
23/12/2017,8,3
30/12/2017,0,0
06/01/2018,5,0
13/01/2018,8,0
20/01/2018,0,0
27/01/2018,8,0
03/02/2018,16,0
10/02/2018,21,0
17/02/2018,18,0
24/02/2018,6,0
03/03/2018,22,0
10/03/2018,11,0
17/03/2018,57,1
24/03/2018,32,0
