CITY,28/11/2015,05/12/2015,12/12/2015,19/12/2015,26/12/2015,02/01/2016,09/01/2016,16/01/2016,23/01/2016,30/01/2016,06/02/2016,13/02/2016,20/02/2016,27/02/2016,05/03/2016,12/03/2016,19/03/2016,26/03/2016,02/04/2016,09/04/2016,16/04/2016,23/04/2016,30/04/2016,07/05/2016,14/05/2016,21/05/2016,28/05/2016,04/06/2016,11/06/2016,18/06/2016,25/06/2016,02/07/2016,09/07/2016,16/07/2016,23/07/2016,30/07/2016,06/08/2016,13/08/2016,20/08/2016,27/08/2016,03/09/2016,10/09/2016,17/09/2016,24/09/2016,01/10/2016,08/10/2016,15/10/2016,22/10/2016,29/10/2016,05/11/2016,12/11/2016,19/11/2016,26/11/2016,03/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016,07/01/2017,14/01/2017,21/01/2017,28/01/2017,04/02/2017,11/02/2017,18/02/2017,25/02/2017,04/03/2017,11/03/2017,18/03/2017,25/03/2017,01/04/2017,08/04/2017,15/04/2017,22/04/2017,29/04/2017,06/05/2017,13/05/2017,20/05/2017,27/05/2017,03/06/2017,10/06/2017,17/06/2017,24/06/2017,01/07/2017,08/07/2017,15/07/2017,22/07/2017,29/07/2017,05/08/2017,12/08/2017,19/08/2017,26/08/2017,02/09/2017,09/09/2017,16/09/2017,23/09/2017,30/09/2017,07/10/2017,14/10/2017,21/10/2017,28/10/2017,04/11/2017,11/11/2017,18/11/2017,25/11/2017
Mexico-Hidalgo,16,0,12,0,0,12,0,21,24,58,29,10,8,23,51,31,63,71,25,22,14,10,0,0,31,5,6,12,0,0,0,0,4,4,0,4,0,9,11,21,15,8,12,4,7,3,14,0,0,13,6,0,9,11,0,0,0,0,0,13,0,0,77,23,0,31,46,24,0,24,25,0,0,26,0,0,0,21,0,19,17,0,0,20,44,0,0,0,0,0,12,10,0,0,0,0,0,13,3,0,0,0,0,0,0
Mexico-Jalisco,8,0,0,0,4,2,0,100,70,54,44,30,18,22,15,25,24,30,24,19,9,24,16,10,20,13,9,7,6,8,7,4,9,4,7,12,7,5,11,9,6,10,7,6,8,8,7,8,8,5,7,15,10,12,11,3,0,11,6,8,9,9,10,23,9,13,9,5,9,10,4,0,0,16,22,4,12,4,23,8,10,8,5,11,4,16,2,0,13,20,14,8,7,9,2,2,12,11,1,6,9,10,4,9,8
Mexico-Mexico_City,9,5,2,4,0,3,4,37,49,71,32,26,17,16,23,17,23,43,22,28,17,13,8,13,9,11,5,6,9,7,6,3,4,3,8,13,13,13,13,9,6,7,5,4,7,7,5,6,8,6,7,7,5,10,4,5,7,7,5,11,1,11,14,16,8,22,10,10,10,19,9,8,0,22,8,3,5,9,10,7,4,13,14,13,17,3,3,4,4,5,15,5,6,4,5,2,4,2,1,2,2,3,2,2,1
Mexico-Michoacan_de_Ocampo,19,8,0,10,0,0,10,40,30,40,32,31,30,26,17,32,33,58,28,23,24,35,21,6,11,11,8,12,0,3,0,2,5,2,16,15,12,15,12,14,8,3,8,8,2,6,7,3,3,6,0,25,39,15,11,0,0,10,11,9,0,61,0,16,15,0,16,32,0,16,0,15,0,0,0,0,20,0,26,0,12,0,18,40,28,15,14,0,0,0,16,7,0,0,0,4,0,5,0,0,0,0,0,6,0
Mexico-Morelos,42,12,0,0,0,11,0,41,51,47,27,57,15,15,17,24,11,100,33,98,35,10,6,14,0,11,69,26,60,51,16,12,8,8,5,20,20,10,20,14,9,13,32,11,60,42,36,39,56,26,100,31,57,39,76,52,17,16,0,15,40,51,0,0,51,0,0,27,26,29,42,0,0,30,77,23,99,49,92,23,20,49,61,46,73,75,35,26,0,32,44,55,26,13,21,15,41,23,8,25,18,10,16,13,13
Mexico-Nayarit,59,0,0,0,45,0,0,82,28,59,44,11,26,41,18,50,0,76,55,74,16,22,0,34,35,23,0,14,14,13,12,0,0,0,10,49,13,0,8,7,5,5,6,9,7,6,14,8,10,9,14,0,37,23,0,30,0,26,63,0,23,0,51,45,43,63,92,48,0,0,19,47,63,0,0,0,0,0,0,0,0,88,56,40,0,44,0,0,100,0,100,21,100,100,100,100,100,100,100,100,100,100,100,100,100
Mexico-Nuevo_Leon,24,5,0,0,0,0,0,24,39,55,31,27,25,17,14,34,18,26,28,28,11,22,21,13,9,6,11,9,9,6,5,3,1,2,4,3,3,5,6,4,2,5,12,10,46,47,100,100,100,72,83,62,75,61,53,17,21,33,21,15,11,21,30,16,26,15,27,17,11,12,22,27,0,18,0,31,20,20,18,24,8,10,20,19,5,25,7,5,30,18,17,29,22,22,18,4,5,11,9,10,11,7,11,3,6
Mexico-Oaxaca,15,13,0,16,26,12,15,86,69,100,100,51,51,16,35,25,13,55,68,68,30,61,48,16,17,35,47,32,38,11,35,27,48,30,37,55,66,84,55,65,36,44,66,31,30,43,33,48,41,29,53,49,10,58,17,0,0,14,16,0,24,0,0,72,0,0,47,71,95,100,19,0,0,26,43,0,92,23,42,42,0,89,0,63,23,0,23,12,0,0,25,20,12,0,9,6,15,0,7,0,0,5,0,0,4
Mexico-Puebla,5,9,3,0,8,0,0,14,45,76,31,29,21,16,40,34,27,31,21,40,8,11,10,14,22,13,10,19,4,4,5,8,12,10,10,13,17,22,26,17,12,19,11,9,17,7,17,12,9,8,9,6,24,8,6,6,6,15,16,0,12,16,0,25,8,0,8,9,25,26,26,17,33,0,8,0,0,16,29,14,25,0,20,15,23,8,8,4,29,9,30,11,8,17,9,4,2,5,1,3,4,5,6,3,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0,9,0,16,41,56,11,16,19,24,17,32,20,42,20,46,23,9,6,7,0,18,9,5,9,4,4,0,0,0,0,13,4,6,11,9,4,4,5,0,3,5,0,0,4,10,10,7,0,17,0,0,0,0,0,0,0,0,19,0,0,23,0,17,0,35,7,0,23,19,0,0,0,0,0,0,0,16,0,0,30,0,0,0,11,0,8,0,8,8,11,4,5,0,3,0,0,3,4,0,0
