CITY,2015,2016,2017,2018
Mexico-Aguascalientes,0,4,0,0
Mexico-Baja_California,0,0,4,0
Mexico-Baja_California_Sur,0,21,24,2
Mexico-Campeche,0,86,2,0
Mexico-Chiapas,1,768,5,0
Mexico-Chihuahua,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,61,273,0
Mexico-Colima,0,277,3,0
Mexico-Durango,0,0,2,0
Mexico-Guanajuato,0,0,0,1
Mexico-Guerrero,0,801,24,1
Mexico-Hidalgo,0,190,85,6
Mexico-Jalisco,0,82,335,13
Mexico-Mexico_City,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,61,6,1
Mexico-Morelos,0,269,186,1
Mexico-Nayarit,0,39,603,3
Mexico-Nuevo_Leon,1,784,102,0
Mexico-Oaxaca,0,488,5,0
Mexico-Puebla,0,93,107,0
Mexico-Queretaro_de_Arteaga,0,0,17,0
Mexico-Quintana_Roo,0,363,8,0
Mexico-San_Luis_Potosi,0,31,482,2
Mexico-Sinaloa,0,57,104,5
Mexico-Sonora,0,24,60,0
Mexico-State_Of_Mexico,0,0,26,0
Mexico-Tabasco,0,305,13,4
Mexico-Tamaulipas,0,97,636,1
Mexico-Tlaxcala,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,0,1856,133,1
Mexico-Yucatan,0,823,15,0
Mexico-Zacatecas,0,1,0,0
