CITY,28/11/2015,05/12/2015,12/12/2015,19/12/2015,26/12/2015,02/01/2016,09/01/2016,16/01/2016,23/01/2016,30/01/2016,06/02/2016,13/02/2016,20/02/2016,27/02/2016,05/03/2016,12/03/2016,19/03/2016,26/03/2016,02/04/2016,09/04/2016,16/04/2016,23/04/2016,30/04/2016,07/05/2016,14/05/2016,21/05/2016,28/05/2016,04/06/2016,11/06/2016,18/06/2016,25/06/2016,02/07/2016,09/07/2016,16/07/2016,23/07/2016,30/07/2016,06/08/2016,13/08/2016,20/08/2016,27/08/2016,03/09/2016,10/09/2016,17/09/2016,24/09/2016,01/10/2016,08/10/2016,15/10/2016,22/10/2016,29/10/2016,05/11/2016,12/11/2016,19/11/2016,26/11/2016,03/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016,07/01/2017,14/01/2017,21/01/2017,28/01/2017,04/02/2017,11/02/2017,18/02/2017,25/02/2017,04/03/2017,11/03/2017,18/03/2017,25/03/2017,01/04/2017,08/04/2017,15/04/2017,22/04/2017,29/04/2017,06/05/2017,13/05/2017,20/05/2017,27/05/2017,03/06/2017,10/06/2017,17/06/2017,24/06/2017,01/07/2017,08/07/2017,15/07/2017,22/07/2017,29/07/2017,05/08/2017,12/08/2017,19/08/2017,26/08/2017,02/09/2017,09/09/2017,16/09/2017,23/09/2017,30/09/2017,07/10/2017,14/10/2017,21/10/2017,28/10/2017,04/11/2017,11/11/2017,18/11/2017,25/11/2017
Mexico-Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico-Baja_California_Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,3,3,2
Mexico-Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,5,0,1,0,0,0,0,4,2,2,5,12,2,4,8,15,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mexico-Chiapas,1,0,0,0,0,9,0,3,11,11,10,9,3,15,3,7,6,14,10,11,1,5,3,0,1,0,10,7,0,59,43,45,55,45,46,21,20,16,15,29,3,2,12,1,47,105,3,4,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1,0,3,3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,12,13,3,12,33,60,37,28,0,39,4,8
Mexico-Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10,8,5,6,2,2,8,13,29,12,13,14,11,25,13,25,23,18,11,7,3,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mexico-Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mexico-Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
